,from,to,min,max,mean,stDev,sampleCount,noDataCount,name,month
139,2022-05-21T00:00:00Z,2022-05-22T00:00:00Z,,,,,1,1,Amsterdam,5
140,2022-05-22T00:00:00Z,2022-05-23T00:00:00Z,8.662314940011129e-05,8.662314940011129e-05,8.662314940011129e-05,0.0,1,0,Amsterdam,5
141,2022-05-23T00:00:00Z,2022-05-24T00:00:00Z,,,,,1,1,Amsterdam,5
142,2022-05-24T00:00:00Z,2022-05-25T00:00:00Z,1.941543450811878e-05,1.941543450811878e-05,1.941543450811878e-05,0.0,1,0,Amsterdam,5
143,2022-05-25T00:00:00Z,2022-05-26T00:00:00Z,6.844621384516358e-05,6.844621384516358e-05,6.844621384516358e-05,0.0,1,0,Amsterdam,5
144,2022-05-26T00:00:00Z,2022-05-27T00:00:00Z,,,,,1,1,Amsterdam,5
145,2022-05-27T00:00:00Z,2022-05-28T00:00:00Z,,,,,1,1,Amsterdam,5
146,2022-05-28T00:00:00Z,2022-05-29T00:00:00Z,2.4134114937623963e-05,2.4134114937623963e-05,2.4134114937623963e-05,0.0,1,0,Amsterdam,5
147,2022-05-29T00:00:00Z,2022-05-30T00:00:00Z,,,,,1,1,Amsterdam,5
148,2022-05-30T00:00:00Z,2022-05-31T00:00:00Z,,,,,1,1,Amsterdam,5
149,2022-05-31T00:00:00Z,2022-06-01T00:00:00Z,,,,,1,1,Amsterdam,5
150,2022-06-01T00:00:00Z,2022-06-02T00:00:00Z,,,,,1,1,Amsterdam,6
151,2022-06-02T00:00:00Z,2022-06-03T00:00:00Z,,,,,1,1,Amsterdam,6
152,2022-06-03T00:00:00Z,2022-06-04T00:00:00Z,6.371517520165071e-05,6.371517520165071e-05,6.371517520165071e-05,0.0,1,0,Amsterdam,6
153,2022-06-04T00:00:00Z,2022-06-05T00:00:00Z,,,,,1,1,Amsterdam,6
154,2022-06-05T00:00:00Z,2022-06-06T00:00:00Z,,,,,1,1,Amsterdam,6
155,2022-06-06T00:00:00Z,2022-06-07T00:00:00Z,,,,,1,1,Amsterdam,6
156,2022-06-07T00:00:00Z,2022-06-08T00:00:00Z,3.392125654499978e-05,3.392125654499978e-05,3.392125654499978e-05,0.0,1,0,Amsterdam,6
157,2022-06-08T00:00:00Z,2022-06-09T00:00:00Z,,,,,1,1,Amsterdam,6
158,2022-06-09T00:00:00Z,2022-06-10T00:00:00Z,7.28932282072492e-05,7.28932282072492e-05,7.28932282072492e-05,0.0,1,0,Amsterdam,6
159,2022-06-10T00:00:00Z,2022-06-11T00:00:00Z,,,,,1,1,Amsterdam,6
